Id,Genre
tt0087892,"['Adventure', 'Drama', 'History']"
tt0087951,['Comedy']
tt0087089,"['Crime', 'Drama', 'Music']"
tt0087755,"['Comedy', 'Drama', 'Family']"
tt0087800,['Horror']
tt0088414,"['Comedy', 'Romance']"
tt0087747,"['Comedy', 'Drama', 'Romance']"
tt0087265,"['Comedy', 'Drama', 'Romance']"
tt0088128,"['Comedy', 'Romance']"
tt0087727,"['Action', 'Adventure', 'Drama']"
tt0088146,"['Crime', 'Drama', 'Mystery']"
tt0086859,"['Action', 'Adventure', 'Crime']"
tt0087835,"['Comedy', 'Fantasy']"
tt0088001,"['Comedy', 'Music']"
tt0088385,['Comedy']
tt0088286,['Comedy']
tt0087425,"['Comedy', 'Romance', 'Sport']"
tt0088323,"['Adventure', 'Drama', 'Family']"
tt0086955,"['Comedy', 'War']"
tt0159539,"['Comedy', 'Romance']"
tt0087589,"['Action', 'Crime', 'Drama']"
tt0086896,"['Action', 'Crime', 'Thriller']"
tt0087507,"['Action', 'Comedy', 'Crime']"
tt0087262,"['Action', 'Horror', 'Sci-Fi']"
tt0086946,"['Drama', 'Music']"
tt0086999,"['Comedy', 'Drama', 'Musical']"
tt0087050,['Horror']
tt0087799,"['Comedy', 'Horror', 'Sci-Fi']"
tt0088206,"['Action', 'Adventure', 'Fantasy']"
tt0087451,"['Action', 'Adventure', 'Comedy']"
tt0087222,"['Action', 'Drama', 'Thriller']"
tt0087482,"['Comedy', 'Drama', 'Romance']"
tt0087175,"['Adventure', 'Sci-Fi', 'Thriller']"
tt0088333,['Comedy']
tt0088007,['Drama']
tt0088224,"['Action', 'Drama', 'Comedy']"
tt0087233,"['Drama', 'Romance']"
tt0087384,"['Drama', 'Music']"
tt0088402,"['Comedy', 'Drama']"
tt0087003,['Comedy']
tt0088256,"['Drama', 'Thriller', 'Crime']"
tt0088249,"['Horror', 'Documentary', 'Thriller']"
tt0087091,['Drama']
tt0086987,"['Comedy', 'Romance']"
tt0086984,"['Crime', 'Mystery', 'Thriller']"
tt0087866,"['Comedy', 'Drama', 'Sport']"
tt0086993,"['Action', 'Adventure', 'Drama']"
tt0087983,"['Drama', 'Romance', 'Comedy']"
tt0087910,"['Adventure', 'Drama', 'Romance']"
tt0088194,"['Action', 'Crime', 'Drama']"
tt0087525,"['Comedy', 'Music', 'Romance']"
tt0087629,['Thriller']
tt0087452,"['Drama', 'Sci-Fi']"
tt0087385,['Comedy']
tt0086877,"['Crime', 'Drama', 'Thriller']"
tt0087932,"['Action', 'Comedy', 'Crime']"
tt0088024,"['Action', 'Crime', 'Sci-Fi']"
tt0088213,"['Drama', 'Romance', 'War']"
tt0087980,"['Drama', 'Romance', 'War']"
tt0086856,"['Adventure', 'Comedy', 'Romance']"
tt0087263,"['Drama', 'Thriller']"
tt0087968,"['Comedy', 'Drama', 'Romance']"
tt0088103,"['Adventure', 'Fantasy']"
tt0087635,['Comedy']
tt0087843,"['Crime', 'Drama']"
tt0087428,"['Comedy', 'Drama', 'Romance']"
tt0086886,"['Comedy', 'Crime', 'Romance']"
tt0087810,"['Comedy', 'Drama', 'Music']"
tt0088178,"['Documentary', 'Music']"
tt0087359,['Drama']
tt0087015,"['Horror', 'Sci-Fi']"
tt0087666,"['Comedy', 'Romance', 'Sport']"
tt0088258,"['Comedy', 'Music']"
tt0087513,"['Comedy', 'Romance']"
tt0087751,"['Drama', 'Romance']"
